KR5g0029	道法會元-明-
KR5c0037	太上日月混元經--
KR5d0006	上清神寶洞房真諱上經--
KR4h0102	明文衡-明-程敏政
KR5a0309	歷世真仙體道通鑑續編--趙道一
KR5g0153	洞真太上說智慧消魔真經-唐-
KR4d0195	東萊詩集-宋-呂本中
KR5c0264	鬼谷子天髓靈文-later-
KR5a0273	修真十書黃庭內景五臟六腑圖-唐-胡愔
KR5b0104	神仙服餌丹石行藥法-六朝-京里先生
KR5e0012	淨明忠孝全書--黃元吉
KR5b0100	上清佩符文黃卷訣--
KR4e0051	蚓竅集-明-管時敏
KR5b0293	黃帝太一八門逆順生死訣--
KR5b0291	黃帝太乙八門入式訣--
KR4b0005	嵇中散集-魏-嵇康
KR5a0017	太上說朝天謝雷真經--
KR5a0014	高上玉皇胎息經--
KR5c0106	道德真經衍義手鈔-元初期-王守正
KR5b0199	玉籙生神資度轉經儀--
KR4d0233	止齋集-宋-陳傅良
KR4d0588	蟻術詩選-元-
KR5b0206	玉籙大齋第二日晚朝儀-宋-
KR5b0200	玉籙生神資度開收儀-明-
KR6d0137	止觀輔行搜要記-唐-湛然
KR5a0079	三洞神符記--
KR4a0002	楚辭章句-漢-王逸
KR5i0042	化書--
KR5i0047	同參經--
KR5h0005	上清元始變化寶真上經-六朝-
KR5h0001	太上中道妙法蓮花經--
KR5c0210	太上正一朝天三八謝罪法懺-明初期-
KR5h0008	洞玄靈寶玉京山步虛經--
KR5c0214	太清中黃真經-唐-九仙君
KR5c0190	太清道德顯化儀-明-
KR4d0418	滹南集-金-王若虛
KR3l0016	雲仙雜記-唐-馮贄
KR6g0006	涅槃玄義發源機要-宋-智圓
KR6g0008	涅槃經遊意-隋-吉藏
KR5d0045	素問六氣玄珠密語--王冰
KR3k0039	韻府羣玉-元-陰勁弦
KR6q0201	石雨禪師法檀-明-明方
KR6m0039	肇論疏-唐-元康
KR6m0038	肇論-後秦-僧肇
KR4c0028	顏魯公集-唐-顏眞卿
KR2d0017	罪惟錄-明-
KR5c0364	西川青羊宮碑銘--樂朋龜
KR5a0269	修真十書玉隆集--白玉蟾
KR5g0052	正一法文太上外籙儀-六朝-
KR5a0267	修真十書雜著捷徑-元-
KR5g0117	海瓊問道集--白玉蟾
KR6d0186	四明尊者教行錄-宋-宗曉
KR5g0118	海瓊傳道集--白玉蟾
KR4e0157	王文成全書-明-王守仁
KR5a0195	高上玉皇滿願寶懺--
KR5g0201	上清曲素訣辭籙-唐-
KR5g0203	上清高上龜山玄籙-唐-
KR5a0298	太上登真三矯靈應經-宋-
KR4d0273	水心集-宋-葉適
KR5g0163	上清太上開天龍蹻經-宋-
KR5b0249	靈寶玉鑑目錄--
KR5g0169	上清九天上帝祝百神內名經-東晉-
KR6q0065	虛堂和尚語錄-宋-妙源
KR5b0323	靈寶淨明院行遣式-南宋-周方文
KR5b0075	上清金母求仙上法-唐-李玄真
KR6s0074	老子化胡經--
KR5e0054	雲光集--王處一
KR4d0394	四如集-宋-黃仲元
KR5i0005	太上玄元道德經解--
KR5a0127	黃帝陰符經夾頌解註--王玠
KR5a0124	黃帝陰符經註-金-侯善淵
KR5g0067	諸真內丹集要-元-玄全子
KR4f0044	敬業堂詩集-清-查愼行
KR4d0305	鶴山集-宋-魏了翁
